Economy,Year,freight,passenger,freight_activity,passenger_activity
06_HKC,2019,39.854003431999836,44.56500580022127,6.494041675549164,44.7956379111911
06_HKC,2020,36.054674315091574,34.53267221173128,5.924399729537122,32.95907432443836
06_HKC,2021,37.46284498474203,40.07568601002102,6.253914556293854,40.05742663059083
06_HKC,2022,37.49823569711303,40.85860898433834,6.29680492970776,42.3274390441614
06_HKC,2023,37.34897555485709,41.185398778321535,6.30366627372372,43.319149135019856
06_HKC,2024,37.18951899305578,41.46880555832437,6.314304529561919,44.32112875692098
06_HKC,2025,37.05070690799574,41.876294765059036,6.3356255309213205,45.4781743292269
06_HKC,2026,36.84481867036542,41.91461893056007,6.347511729546668,46.22456634293365
06_HKC,2027,36.70154056387929,42.00983982807827,6.374717714760399,47.092677284645106
06_HKC,2028,36.53884837673129,42.05244705712712,6.401326458831006,47.94471447026939
06_HKC,2029,36.35749096931677,42.050340619438096,6.427339340656027,48.78902916769704
06_HKC,2030,36.23572824607666,42.10927630283216,6.468263692640159,49.76251874863238
06_HKC,2031,36.05460493352751,42.05170677346339,6.493004962773342,50.59593548275168
06_HKC,2032,35.963631669309585,42.06874509793796,6.532493866373708,51.548186089942405
06_HKC,2033,35.884263272379044,42.057290290369885,6.571223723699221,52.4817020541553
06_HKC,2034,35.8139634191962,42.013522747878206,6.609193706079812,53.392010046387085
06_HKC,2035,35.82384508494514,42.01870992619957,6.661498449107192,54.39613277881816
06_HKC,2036,35.76406503870042,41.904266796388676,6.69786201843126,55.25263748809142
06_HKC,2037,35.77668582854402,41.825536751210755,6.74839210964998,56.19800868268081
06_HKC,2038,35.7863613244833,41.70098852340911,6.797989545506845,57.11302433039572
06_HKC,2039,35.790651842727534,41.530920062711225,6.846650466540742,57.997673840767185
06_HKC,2040,35.787290905764976,41.31587956053184,6.894370262418748,58.85169253753936
06_HKC,2041,35.84091044395888,41.1175723904963,6.9557490313940455,59.77890192552887
06_HKC,2042,35.8126610952827,40.81031623778796,7.001487891828446,60.56837893069748
06_HKC,2043,35.83471972103002,40.515918014615785,7.060709049830048,61.42595032929172
06_HKC,2044,35.83699118670543,40.17459286224356,7.118798985704291,62.24741808927186
06_HKC,2045,35.774389995829225,39.76034562452211,7.161470120132818,62.937639281757356
06_HKC,2046,35.866992624718506,39.440012486750646,7.245744874377248,63.87461555857101
06_HKC,2047,35.87487466906411,39.031866250100336,7.31441586133114,64.67594286371515
06_HKC,2048,35.92004219589952,38.63050639580638,7.395781924502703,65.52539734732768
06_HKC,2049,35.94316427457951,38.19588599361639,7.4756322952392855,66.33075672311413
06_HKC,2050,35.969861337642506,37.85520281274899,7.553951584687544,67.09263062434127
06_HKC,2051,33.66798118264899,35.90178685830978,7.635434560664128,67.84320620980567
06_HKC,2052,33.73517224826527,36.07161856867105,7.720139231978253,68.58621090435435
06_HKC,2053,33.80431358303324,36.24007592199208,7.80807965837946,69.32196246494834
06_HKC,2054,33.87539109194033,36.40721560863153,7.89926958269742,70.05066191366933
06_HKC,2055,33.94839178752687,36.573102092759434,7.993722411163989,70.7725528757094
06_HKC,2056,34.02330393352947,36.73782457686313,8.09145119304529,71.48800206286522
06_HKC,2057,34.10011717900107,36.90143819158048,8.192468599562888,72.1972185953953
06_HKC,2058,34.17882268281332,37.06395683127893,8.296786902083486,72.90021909528902
06_HKC,2059,34.25941322837612,37.225386934968064,8.404417949555665,73.59698828191442
06_HKC,2060,34.34188332835232,37.38566769003995,8.515373145171258,74.28719344139802
06_HKC,2061,34.42622931984437,37.54484514553659,8.629663422228957,74.97101494765987
06_HKC,2062,34.51244944941645,37.70288190770967,8.74729921917672,75.64823826012801
06_HKC,2063,34.60054394895854,37.85970910783387,8.868290453809271,76.31850172093895
06_HKC,2064,34.690515102251595,38.01518975202447,8.992646496595498,76.98112177700517
06_HKC,2065,34.78236730285032,38.16920059288102,9.120376143111482,77.6354838640102
06_HKC,2066,34.87610710350775,38.32169585467959,9.251487585552315,78.28134647405038
06_HKC,2067,34.971743257435364,38.47263435704212,9.385988383296654,78.9184933854691
06_HKC,2068,35.06928675198271,38.621852894970296,9.523885432496568,79.54613019447554
06_HKC,2069,35.16875083559743,38.769167360995304,9.665184934664335,80.16336720261289
06_HKC,2070,35.27015103823383,38.91442725215266,9.80989236422804,80.76947947673058
07_INA,2017,655.8063842737407,1721.312617969046,258.644246184,734.761461596
07_INA,2018,808.4148078918087,1781.8591664765713,317.82297681000006,766.409185107
07_INA,2019,844.6452920878016,1840.2392401411225,333.173892724,797.488816003
07_INA,2020,825.193086570133,1666.6437546605468,327.107816252,740.546631101
07_INA,2021,853.3030181749621,1821.1777463143019,342.29121982199996,821.022312748
07_INA,2022,883.8430347147548,1855.6815728141296,362.068774853,860.7384609400001
07_INA,2023,911.2335491472921,1885.0611201889135,380.212287243,897.374840854
07_INA,2024,938.0183561735654,1915.6096323628167,398.90270728400003,935.084092502
07_INA,2025,965.4470349227589,1948.5713922650773,418.516397915,974.588764346
07_INA,2026,992.2099812934845,1977.5951375734303,435.86875674399994,1009.831604812
07_INA,2027,1019.8592300814286,2008.008715420044,453.69036766100004,1046.008210644
07_INA,2028,1048.3794355459129,2039.6338272811506,471.99581553999997,1083.1479928620001
07_INA,2029,1077.7453649627844,2072.2715745514215,490.793750414,1121.268200572
07_INA,2030,1108.0511054531048,2110.486589631144,510.073155434,1160.348210846
07_INA,2031,1139.6251674999594,2150.401323572298,529.830262802,1200.3811831159999
07_INA,2032,1172.5090628303437,2193.854276993985,550.109252145,1241.451218121
07_INA,2033,1206.675215161565,2238.8806993661483,570.9181457919999,1283.5721131490002
07_INA,2034,1242.103518906051,2285.299414197375,592.267451474,1326.7615357290001
07_INA,2035,1278.7786431498805,2332.942304392025,614.168937487,1371.0389890239999
07_INA,2036,1316.6476016035688,2381.218558280136,636.620689343,1416.39739398
07_INA,2037,1355.6274717960014,2427.861691074269,659.6114954999999,1462.811070225
07_INA,2038,1395.7161664344408,2472.6744586986147,683.1641457740001,1510.318362696
07_INA,2039,1436.8472327382462,2515.625359353187,707.270213352,1558.8967512660001
07_INA,2040,1478.944799620446,2556.908423104438,731.918615597,1608.5174774270001
07_INA,2041,1518.1037195121817,2595.864693443376,757.107522839,1659.168793562
07_INA,2042,1557.8979731998047,2633.8415689830576,782.83317089,1710.833747962
07_INA,2043,1598.2411131804313,2671.018333967211,809.0938171920001,1763.497380131
07_INA,2044,1639.00505081485,2707.41168978164,835.871695281,1817.112290333
07_INA,2045,1679.9496722489823,2742.7173651189282,863.096081083,1871.527898453
07_INA,2046,1725.1572783017602,2777.469045813919,890.697184323,1926.5942552019999
07_INA,2047,1770.309978442065,2810.174325908354,918.651796213,1982.2503653429999
07_INA,2048,1815.2434359554832,2840.312714389902,946.9589656490001,2038.477056638
07_INA,2049,1859.7729411198125,2867.3291562916543,975.620504319,2095.259442584
