Economy,Year,Residential,GDP per capita
10_MAS,2029,239.19605697677267,38059.57056282685
10_MAS,2030,246.9890130335594,39302.47041490479
10_MAS,2031,255.7602350131056,40777.16791645742
10_MAS,2032,263.3922596656798,42038.92494096722
10_MAS,2033,270.9108805993172,43293.11519153026
10_MAS,2034,278.30890259705916,44541.51782764646
10_MAS,2035,287.6189671838074,46176.978826895785
10_MAS,2036,296.77015787875536,47804.09076068189
10_MAS,2037,303.75642039358087,49037.92540392013
10_MAS,2038,312.632401178089,50653.65455009217
10_MAS,2039,321.3680403948527,52262.613228046896
10_MAS,2040,329.96419201811864,53864.86336206155
10_MAS,2041,340.4739870270782,55838.3334476135
10_MAS,2042,348.8842597766174,57427.261355209426
10_MAS,2043,357.1964040446836,59011.096850464724
10_MAS,2044,367.37997379260463,60961.495163780884
10_MAS,2045,375.497941088483,62533.34961878236
10_MAS,2046,385.45091805682966,64468.89612983088
10_MAS,2047,395.2699635560223,66397.12793656369
10_MAS,2048,404.95573821147843,68318.58211103664
10_MAS,2049,414.5086862805329,70233.87474613379
10_MAS,2050,422.0159228045065,71781.17551297274
10_MAS,2051,428.56814521756024,
10_MAS,2052,435.20326655754377,
10_MAS,2053,441.91875216834296,
10_MAS,2054,448.710550250694,
10_MAS,2055,455.5750552678538,
10_MAS,2056,462.5107904111641,
10_MAS,2057,469.5166544024326,
10_MAS,2058,476.5893968460788,
10_MAS,2059,483.72486094894055,
10_MAS,2060,490.91930600323144,
10_MAS,2061,498.17124353620136,
10_MAS,2062,505.47900240694486,
10_MAS,2063,512.8399150979873,
10_MAS,2064,520.2513502457784,
10_MAS,2065,527.711017242137,
10_MAS,2066,535.2179497577483,
10_MAS,2067,542.772534404144,
10_MAS,2068,550.3761147971355,
10_MAS,2069,558.0311360508986,
10_MAS,2070,565.7404452771084,
11_MEX,2017,771.7072173424162,19795.868177716442
11_MEX,2018,789.7531803125432,19992.23109056563
11_MEX,2019,796.9202602873711,19755.45357109936
11_MEX,2020,772.1149989746631,18257.36102082657
11_MEX,2021,784.9802100746577,18613.155629452343
11_MEX,2022,785.5629561843758,18911.442313611202
11_MEX,2023,786.4183726903271,19238.71051780342
11_MEX,2024,787.8620242139555,19583.557585513114
11_MEX,2025,790.0457172985125,19944.281350912624
11_MEX,2026,790.3253843678556,20319.548503471557
11_MEX,2027,791.3847606175785,20709.605013173674
11_MEX,2028,793.2082677583921,21113.806508155638
11_MEX,2029,795.7895179182253,21531.55111012719
11_MEX,2030,799.1164162857551,21962.43235015735
11_MEX,2031,802.870142312556,22406.250829277546
11_MEX,2032,807.3203438354868,22861.95014777047
11_MEX,2033,812.4748381982688,23329.835585094406
11_MEX,2034,818.317395594275,23810.357340759874
11_MEX,2035,824.8390327372481,24303.828474346912
11_MEX,2036,832.0218414760546,24810.222938311104
11_MEX,2037,839.8716447424317,25329.235870566776
11_MEX,2038,848.3656363023099,25860.355448402745
11_MEX,2039,857.4762102744985,26402.86171740593
11_MEX,2040,867.1594235328264,26955.942608457
11_MEX,2041,877.5251160919137,27518.91358400416
11_MEX,2042,888.4544428065196,28090.978537654042
11_MEX,2043,899.8807923001195,28671.139998280145
11_MEX,2044,911.746618782264,29258.46615007214
11_MEX,2045,923.9971686538353,29852.32358117323
11_MEX,2046,936.5560718029786,30452.490688469006
11_MEX,2047,949.3799142933598,31059.11115728599
11_MEX,2048,962.4353257322139,31672.71045133046
11_MEX,2049,977.3574614281374,32294.0459694512
11_MEX,2050,989.1522808924827,32923.920097135226
11_MEX,2051,0.0,
11_MEX,2052,0.0,
11_MEX,2053,0.0,
11_MEX,2054,0.0,
11_MEX,2055,0.0,
11_MEX,2056,0.0,
11_MEX,2057,0.0,
11_MEX,2058,0.0,
11_MEX,2059,0.0,
11_MEX,2060,0.0,
11_MEX,2061,0.0,
11_MEX,2062,0.0,
11_MEX,2063,0.0,
